respondent_group,question_no,objective,hypothesis
Women Representative,2,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,14,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,15,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,16,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,17,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,18,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,19,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,20,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Mahila Mukhiya,2,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Mahila Mukhiya,15,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Mahila Mukhiya,17,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Govt Officials,15,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Govt Officials,20,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Traditional Leader,15,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Traditional Leader,16,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Traditional Leader,20,Obj 1: 73rd Amendment impact on representation & participation,H1: 73rd Amendment increased representation/participation → empowerment
Women Representative,21,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
Women Representative,22,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
Women Representative,33,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
Govt Officials,16,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
Govt Officials,24,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
Govt Officials,25,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
Govt Officials,26,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
Mahila Mukhiya,24,Obj 2: Effectiveness of capacity building initiatives,H2: Capacity building enhances participation & empowerment
General Public,9,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
General Public,10,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
General Public,11,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
General Public,15,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Women Representative,29,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Women Representative,30,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Women Representative,31,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Women Representative,32,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Women Representative,33,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Women Representative,34,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Govt Officials,21,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Govt Officials,22,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Govt Officials,23,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Mahila Mukhiya,21,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Mahila Mukhiya,22,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Mahila Mukhiya,23,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Traditional Leader,22,Obj 3: Role of ICT in promoting participation,H3: ICT played a crucial role
Women Representative,19,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
Women Representative,23,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
Women Representative,24,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
General Public,12,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
General Public,13,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
General Public,14,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
General Public,18,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
General Public,19,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
Mahila Mukhiya,16,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
Mahila Mukhiya,25,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
Mahila Mukhiya,26,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
Mahila Mukhiya,27,Obj 4: Participation → empowerment & community development,H4: Participation contributed to empowerment & community development
